北海道,0101,Sapporo,札幌
北海道,0102,Asahikawa,旭川
北海道,0103,Otaru,小樽
北海道,0104,Hakodate,函館
北海道,0105,Muroran,室蘭
北海道,0106,Kushiro,釧路
北海道,0107,Obihiro,帯広
北海道,0108,Kitami,北見
北海道,0109,Yubari,夕張
北海道,0110,Iwamizawa,岩見沢
北海道,0111,Abashiri,網走
北海道,0112,Rumoi,留萌
北海道,0113,Tomakomai,苫小牧
北海道,0114,Wakkanai,稚内
北海道,0115,Bibai,美唄
北海道,0116,Ashibetsu,芦別
北海道,0117,Ebetsu,江別
北海道,0118,Akabira,赤平
北海道,0119,Mombetsu,紋別
北海道,0120,Shibetsu,士別
北海道,0121,Nayoro,名寄
北海道,0122,Mikasa,三笠
北海道,0123,Nemuro,根室
北海道,0124,Chitose,千歳
北海道,0125,Takikawa,滝川
北海道,0126,Sunagawa,砂川
北海道,0127,Utashinai,歌志内
北海道,0128,Fukagawa,深川
北海道,0129,Furano,富良野
北海道,0130,Noboribetsu,登別
北海道,0131,Eniwa,恵庭
北海道,0133,Date,伊達
北海道,0134,Kitahiroshima,北広島
北海道,0135,Ishikari,石狩
北海道,0136,Hokuto,北斗
青森,0201,Aomori,青森
青森,0202,Hirosaki,弘前
青森,0203,Hachinohe,八戸
青森,0204,Kuroishi,黒石
青森,0205,Goshogawara,五所川原
青森,0206,Towada,十和田
青森,0207,Misawa,三沢
青森,0208,Mutsu,むつ
青森,0209,Tsugaru,つがる
青森,0210,Hirakawa,平川
岩手,0301,Morioka,盛岡
岩手,0302,Kamaishi,釜石
岩手,0303,Miyako,宮古
岩手,0304,Ichinoseki,一関
岩手,0305,Ofunato,大船渡
岩手,0307,Hanamaki,花巻
岩手,0308,Kitakami,北上
岩手,0309,Kuji,久慈
岩手,0310,Tono,遠野
岩手,0311,Rikuzentakata,陸前高田
岩手,0313,Ninohe,二戸
岩手,0314,Hachimantai,八幡平
岩手,0315,Oshu,奥州
岩手,0316,Takizawa,滝沢
秋田,0401,Akita,秋田
秋田,0402,Noshiro,能代
秋田,0403,Odate,大館
秋田,0404,Yokote,横手
秋田,0406,Oga,男鹿
秋田,0407,Yuzawa,湯沢
秋田,0409,Kazuno,鹿角
秋田,0410,Yurihonjo,由利本荘
秋田,0411,Katagami,潟上
秋田,0412,Daisen,大仙
秋田,0413,Kitaakita,北秋田
秋田,0414,Nikaho,にかほ
秋田,0415,Senboku,仙北
山形,0501,Yamagata,山形
山形,0502,Yonezawa,米沢
山形,0503,Tsuruoka,鶴岡
山形,0504,Sakata,酒田
山形,0505,Shinjo,新庄
山形,0506,Sagae,寒河江
山形,0507,Kaminoyama,上山
山形,0508,Murayama,村山
山形,0509,Nagai,長井
山形,0510,Tendo,天童
山形,0511,Higashine,東根
山形,0512,Obanazawa,尾花沢
宮城,0601,Sendai,仙台
宮城,0602,Ishinomaki,石巻
宮城,0603,Shiogama,塩竈
宮城,0605,Kesennuma,気仙沼
宮城,0606,Shiroishi,白石
宮城,0607,Natori,名取
宮城,0608,Kakuda,角田
宮城,0609,Tagajo,多賀城
宮城,0611,Iwanuma,岩沼
宮城,0612,Tome,登米
宮城,0613,Kurihara,栗原
宮城,0614,Higashimatsushima,東松島
宮城,0615,Osaki,大崎
宮城,0616,Tomiya,富谷
福島,0701,Fukushima,福島
福島,0702,Aizuwakamatsu,会津若松
福島,0703,Koriyama,郡山
福島,0705,Shirakawa,白河
福島,0707,Sukagawa,須賀川
福島,0708,Kitakata,喜多方
福島,0711,Soma,相馬
福島,0714,Nihonmatsu,二本松
福島,0715,Iwaki,いわき
福島,0717,Tamura,田村
福島,0718,Minamisoma,南相馬
福島,0719,Date,伊達
福島,0720,Motomiya,本宮
新潟,0801,Niigata,新潟
新潟,0802,Nagaoka,長岡
新潟,0804,Sanjo,三条
新潟,0805,Kashiwazaki,柏崎
新潟,0806,Shibata,新発田
新潟,0808,Ojiya,小千谷
新潟,0809,Kamo,加茂
新潟,0810,Tokamachi,十日町
新潟,0811,Mitsuke,見附
新潟,0812,Murakami,村上
新潟,0813,Tsubame,燕
新潟,0816,Itoigawa,糸魚川
新潟,0818,Gosen,五泉
新潟,0822,Joetsu,上越
新潟,0823,Agano,阿賀野
新潟,0824,Sado,佐渡
新潟,0825,Uonuma,魚沼
新潟,0826,Minamiuonuma,南魚沼
新潟,0827,Myoko,妙高
新潟,0828,Tainai,胎内
長野,0901,Nagano,長野
長野,0902,Matsumoto,松本
長野,0903,Ueda,上田
